strategy_id,symbol,timeframe,bars,status,windows,n_trials,oos_sharpe,mean_oos_objective,worst_oos_objective,profitable_windows,distinct_param_sets,most_common_share,deflated_sharpe,pbo,passes_guard,verdict
trend_following_v1,BTC-USD,4h,4000,ok,4,12,-0.008219660174660632,-0.5474947825361423,-3.2173280613744537,1,2,0.75,0.29525447257391113,0.9880952380952381,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.99, deflated Sharpe 0.30, 12 trials)"
trend_following_v2,BTC-USD,4h,4000,ok,4,12,-0.007676471944131204,-0.356636340394034,-3.8367471409174523,2,3,0.5,0.3989687834664324,0.7420634920634921,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.74, deflated Sharpe 0.40, 12 trials)"
ma_crossover_v1,BTC-USD,4h,4000,ok,4,12,-0.012992818900189303,-0.12664650554066642,-3.092808288142426,2,4,0.25,0.6447677753545039,0.3373015873015873,False,"survives the overfitting gauntlet (PBO 0.34, deflated Sharpe 0.64, 12 trials)"
volatility_breakout_v1,BTC-USD,4h,4000,ok,4,12,0.009222874235966922,0.42188932668732665,-0.786436852714292,2,3,0.5,0.8939139177842859,0.03571428571428571,True,"survives the overfitting gauntlet (PBO 0.04, deflated Sharpe 0.89, 12 trials)"
htf_momentum_v2,BTC-USD,4h,4000,ok,4,9,0.007333052752345342,0.26417187034155487,-0.930543629051173,2,3,0.5,0.6340846436498525,0.6865079365079365,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.69, deflated Sharpe 0.63, 9 trials)"
trend_following_v1,BTC-USD,1d,939,ok,2,12,-0.006816130561383226,-0.5304368612387389,-1.8713051730793553,1,2,0.5,0.5687289337153094,0.9404761904761905,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.94, deflated Sharpe 0.57, 12 trials)"
trend_following_v2,BTC-USD,1d,939,ok,2,12,-0.06635887537776443,-1.3121082512539,-1.8713051730793553,0,2,0.5,0.6139094023016162,0.6349206349206349,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.63, deflated Sharpe 0.61, 12 trials)"
ma_crossover_v1,BTC-USD,1d,939,ok,2,12,-0.025801533282701152,-0.37844246775092305,-1.9697625143717092,1,2,0.5,0.5508472362477207,0.4880952380952381,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.49, deflated Sharpe 0.55, 12 trials)"
volatility_breakout_v1,BTC-USD,1d,939,ok,2,12,-0.06875211386973032,-1.0630812606939892,-2.4502484710448345,1,2,0.5,0.6736827487776255,0.17857142857142858,False,"survives the overfitting gauntlet (PBO 0.18, deflated Sharpe 0.67, 12 trials)"
htf_momentum_v2,BTC-USD,1d,939,ok,2,9,-0.01983450935692316,-0.5240847713907231,-2.760046652435099,1,2,0.5,0.6071993734668863,0.23809523809523808,False,"survives the overfitting gauntlet (PBO 0.24, deflated Sharpe 0.61, 9 trials)"
trend_following_v1,ETH-USD,4h,4000,ok,4,12,0.0024990144877832673,-0.3221909465910447,-7.851304520358207,2,3,0.5,0.9396025485542774,0.01984126984126984,True,"survives the overfitting gauntlet (PBO 0.02, deflated Sharpe 0.94, 12 trials)"
trend_following_v2,ETH-USD,4h,4000,ok,4,12,0.028152735559282265,0.5216057142417221,-7.851304520358207,3,3,0.5,0.8739804103909302,0.1865079365079365,True,"survives the overfitting gauntlet (PBO 0.19, deflated Sharpe 0.87, 12 trials)"
ma_crossover_v1,ETH-USD,4h,4000,ok,4,12,-0.0021453824948635624,-0.16028536717769393,-6.476318821994437,2,2,0.75,0.9060172487284435,0.34523809523809523,False,"survives the overfitting gauntlet (PBO 0.35, deflated Sharpe 0.91, 12 trials)"
volatility_breakout_v1,ETH-USD,4h,4000,ok,4,12,0.05353606235322924,1.5256873095960164,-3.9605365699056767,2,2,0.75,0.9933875363244667,0.007936507936507936,True,"survives the overfitting gauntlet (PBO 0.01, deflated Sharpe 0.99, 12 trials)"
htf_momentum_v2,ETH-USD,4h,4000,ok,4,9,0.027568428160703033,1.2248634774278826,-1.832858953108753,2,3,0.5,0.8342979862320643,0.28174603174603174,True,"survives the overfitting gauntlet (PBO 0.28, deflated Sharpe 0.83, 9 trials)"
trend_following_v1,ETH-USD,1d,900,ok,2,12,0.07486038344443802,1.3055744749563247,-0.6829559199395551,1,1,1.0,0.9033978128277689,0.4444444444444444,True,"survives the overfitting gauntlet (PBO 0.44, deflated Sharpe 0.90, 12 trials)"
trend_following_v2,ETH-USD,1d,900,ok,2,12,0.09703422461467894,1.4762238371203178,-0.27491283479176126,1,1,1.0,0.8960009439842636,0.21428571428571427,True,"survives the overfitting gauntlet (PBO 0.21, deflated Sharpe 0.90, 12 trials)"
ma_crossover_v1,ETH-USD,1d,900,ok,2,12,0.064232703644733,0.9023647999694778,-0.15172109326122624,1,2,0.5,0.7368199556420605,0.4126984126984127,True,"survives the overfitting gauntlet (PBO 0.41, deflated Sharpe 0.74, 12 trials)"
volatility_breakout_v1,ETH-USD,1d,900,ok,2,12,0.08278466566171802,0.972105448361453,-1.321996619076658,1,1,1.0,0.9028505268271017,0.04365079365079365,True,"survives the overfitting gauntlet (PBO 0.04, deflated Sharpe 0.90, 12 trials)"
htf_momentum_v2,ETH-USD,1d,900,ok,2,9,0.08085981541941058,1.4483345011609128,0.5952973631941465,2,1,1.0,0.6873147471471843,0.753968253968254,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.75, deflated Sharpe 0.69, 9 trials)"
trend_following_v1,SOL-USD,4h,4000,ok,4,12,0.0038020155751722394,-0.29802141093597057,-6.198265886438106,3,4,0.25,0.7062781033263698,0.21428571428571427,True,"survives the overfitting gauntlet (PBO 0.21, deflated Sharpe 0.71, 12 trials)"
trend_following_v2,SOL-USD,4h,4000,ok,4,12,-0.0012945747581621287,-0.7943967017438986,-7.606159041163259,2,2,0.75,0.7070989334951427,0.32936507936507936,False,"survives the overfitting gauntlet (PBO 0.33, deflated Sharpe 0.71, 12 trials)"
ma_crossover_v1,SOL-USD,4h,4000,ok,4,12,-0.016603363229697746,-1.0499433324517653,-3.632526232729532,1,3,0.5,0.7100910580387086,0.6746031746031746,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.67, deflated Sharpe 0.71, 12 trials)"
volatility_breakout_v1,SOL-USD,4h,4000,ok,4,12,0.07049848323098717,1.969937024689556,-4.212598647988872,3,2,0.75,0.9904077630319825,0.1865079365079365,True,"survives the overfitting gauntlet (PBO 0.19, deflated Sharpe 0.99, 12 trials)"
htf_momentum_v2,SOL-USD,4h,4000,ok,4,9,-0.02137169569606787,-1.2247064734618605,-6.39101929203993,1,3,0.5,0.6829749671481752,0.8055555555555556,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.81, deflated Sharpe 0.68, 9 trials)"
trend_following_v1,SOL-USD,1d,838,ok,2,12,0.05531520936462271,1.2070021091966747,0.7861789532489004,2,2,0.5,0.5301199659761061,0.6825396825396826,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.68, deflated Sharpe 0.53, 12 trials)"
trend_following_v2,SOL-USD,1d,838,ok,2,12,0.05747669644241195,1.0354596891075931,0.4394132102113376,2,1,1.0,0.6386653494230453,0.6031746031746031,False,"no evidence of out-of-sample edge — do not deploy (PBO 0.60, deflated Sharpe 0.64, 12 trials)"
